LAT,LON,HOUSE_ID,ADDRESS,YEAR,LASTUPDATE,SERVICEDATE_START,SERIE,HOUSE_TYPE,CAPFOND,MGMT_COMPANY,MGMT_COMPANY_LINK,AVAR,LEVELS_MAX,LEVELS_MIN,DOORS,ROOM_COUNT,ROOM_COUNT_LIVE,ROOM_COUNT_NONLIVE,AREA,AREA_LIVE,AREA_NONLIVE,AREA_GEN,AREA_LAND,AREA_PARK,CADNO,ENERGY_CLASS,BLAG_PLAYGROUND,BLAG_SPORT,BLAG_OTHER,OTHER,
43.350116,132.159633,6959681,"край. Приморский, г. Артем, ул. Успенского, д. 8",Не заполнено,22.05.2015 в 20:42,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,,Нет,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.143078,131.910027,9072199,"край. Приморский, г. Владивосток, пр-кт. 100-летия Владивостока, д. 14",1967,28.11.2015 в 13:46,Не заполнено,каменный,Многоквартирный дом,На счете регионального оператора,Не заполнено,,Нет,1,1,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.143078,131.910027,6938121,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 14",1967,18.04.2016 в 14:30,01.09.2015,Отсутствует,Многоквартирный дом,На счете регионального оператора,"МУПВ ""Центральный""",http://www.reformagkh.ru/mymanager/profile/8922522/,Нет,9,9,1,54,54,0,3625,2250.4,0,1374.6,3136,0,,D,Имеется,Не имеется,Не заполнено,Не заполнено,
43.14417,131.907457,6938840,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 20",Не заполнено,22.05.2015 в 20:42,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,,Нет,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.144696,131.908437,6931694,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 22",1965,28.04.2016 в 14:55,01.01.2009,II-29,Многоквартирный дом,На счете регионального оператора,"ООО ""Управляющая компания  Первореченского района №11""",http://www.reformagkh.ru/mymanager/profile/7566193/,Нет,9,0,1,91,87,4,2717.75,1754.3,252.3,711.15,2132,0,,Не присвоен,Не имеется,Не имеется,"Урны, скамейки",Не заполнено,
43.144696,131.907709,6933932,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 24",1965,28.04.2016 в 14:55,01.10.2009,II-20,Многоквартирный дом,На счете регионального оператора,"ООО ""Управляющая компания  Первореченского района №11""",http://www.reformagkh.ru/mymanager/profile/7566193/,Нет,9,0,1,94,91,3,2699,1751.3,206.4,741.3,2819,0,,Не присвоен,Не имеется,Не имеется,"Урны, скамейки",Не заполнено,
43.144749,131.906829,6689865,"край. Приморский, г. Владивосток, пр-кт. 100-летия Владивостока, д. 26",1964,22.05.2015 в 20:42,01.08.2008,Не заполнено,Многоквартирный дом,Не заполнено,"ТСЖ ""Молодежная""",http://www.reformagkh.ru/mymanager/profile/8790979/,Нет,5,Не заполнено,4,64,Не заполнено,Не заполнено,3774.7,2487.3,852.5,Незаполнено,Незаполнено,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.144749,131.906829,6940540,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 26",Не заполнено,22.05.2015 в 20:42,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,,Нет,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.145301,131.906532,6937038,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 28",Не заполнено,22.05.2015 в 20:42,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,,Нет,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.145729,131.906559,6937228,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 28а",1964,28.04.2016 в 14:55,01.10.2008,1-511,Многоквартирный дом,На счете регионального оператора,"ООО ""Управляющая компания  Первореченского района №11""",http://www.reformagkh.ru/mymanager/profile/7566193/,Нет,5,0,2,41,40,1,2204,1725.4,45.9,432.7,1500,0,,Не присвоен,Не имеется,Не имеется,"Урны, скамейки",Не заполнено,
