id	node	link	layer	offset	easting	northing	elevation	tag	notes
1217	700866	3106075	AUTO/BUS/WALK	101.497678	731534.477649	4771207.337693	0.000000	Amenity	ferry_terminal
1549	5206	3121419	AUTO/BUS/WALK	138.475718	730352.774345	4770157.221075	0.000000	Amenity	ferry_terminal
4544	685774	3129815	AUTO/BUS/WALK	35.144522	736211.247059	4783154.061507	0.000000	Amenity	bus_station
10111	451620	3072709	AUTO/BUS/WALK	20.998309	733347.999298	4775566.545439	0.000000	Amenity	customs
12291	4048	3071122	AUTO/BUS/WALK	17.821082	734245.765042	4777821.312768	0.000000	Amenity	atm
12296	647448	3128801	AUTO/BUS/WALK	45.738229	735773.957980	4779676.916543	0.000000	Amenity	cinema
12360	66586	3072855	AUTO/BUS/WALK	132.282519	734657.912819	4777312.214340	0.000000	Amenity	ferry_terminal
12451	408782	3060065	AUTO/BUS/WALK	62.429357	735524.766368	4776667.722350	0.000000	Amenity	ferry_terminal
12590	560948	3066896	AUTO/BUS/WALK	31.607660	762361.926800	4807806.964500	0.000000	Shop	supermarket
12641	558789	3066177	AUTO/BUS/WALK	52.054811	758030.621339	4805395.581151	0.000000	Amenity	fire_station
12643	572672	3084974	AUTO/BUS/WALK	46.804909	757395.398335	4804442.554557	0.000000	Amenity	hospital
12650	572917	3085010	AUTO/BUS/WALK	56.516633	757515.907072	4805194.309384	0.000000	Amenity	pharmacy
12653	572899	3085042	AUTO/BUS/WALK	26.100514	757186.036923	4805001.035622	0.000000	Amenity	pharmacy
12658	560864	3066880	AUTO/BUS/WALK	23.652566	762047.444401	4807763.527051	0.000000	Amenity	parking
12660	725117	3065777	AUTO/BUS/WALK	29.237658	758319.268605	4805571.117351	0.000000	Amenity	hospital
14389	500918	3053409	AUTO/BUS/WALK	30.386522	734950.782670	4777702.536638	0.000000	Shop	department_store
14539	98346	3088752	AUTO/BUS/WALK	23.900030	734411.072571	4777213.888362	0.000000	Amenity	bus_station
14781	452293	3071923	AUTO/BUS/WALK	34.085893	733769.318283	4777277.284937	0.000000	Amenity	nightclub
