node	x	y	z
1217	731534.477649	4771207.337693	0.000000
1549	730352.774345	4770157.221075	0.000000
2768	730999.533019	4759653.340797	0.000000
3404	730966.145972	4759518.150552	0.000000
3867	736064.309593	4777656.302161	0.000000
3871	736922.988574	4777546.619741	0.000000
3872	737954.306551	4777422.063925	0.000000
3873	738953.035888	4776634.653168	0.000000
3874	738985.227328	4776573.300257	0.000000
3875	739054.698356	4776612.942520	0.000000
3876	739154.110762	4776977.018798	0.000000
3877	738895.389809	4777517.513495	0.000000
3884	739206.892251	4779327.613111	0.000000
3886	739190.966851	4779343.233062	0.000000
3887	739017.355815	4779513.664123	0.000000
3890	738793.179961	4779867.546881	0.000000
3891	738786.434290	4780108.452509	0.000000
3893	738556.850113	4780170.804263	0.000000
3894	738373.439530	4780223.037343	0.000000
3895	737947.713527	4780162.256221	0.000000
3897	737409.492364	4780152.098270	0.000000
3898	737279.898970	4780200.499016	0.000000
3899	737254.859674	4780206.542863	0.000000
3900	737125.573166	4780234.041259	0.000000
3904	736710.558713	4780464.729829	0.000000
3906	736316.851645	4781388.688794	0.000000
3909	736222.995957	4783273.269948	0.000000
3910	736138.245739	4783224.804373	0.000000
3914	736599.118608	4783682.819336	0.000000
3915	736617.403899	4783808.539070	0.000000
3917	736584.291722	4783942.700800	0.000000
3919	736502.458460	4784161.956079	0.000000
3921	736401.016379	4784127.683576	0.000000
3922	736365.006448	4784112.854999	0.000000
3925	736062.056454	4783901.503704	0.000000
3927	736017.788180	4783790.629649	0.000000
3931	736030.599359	4783584.919385	0.000000
3933	736046.477234	4783460.887937	0.000000
3934	736048.144919	4783443.321465	0.000000
3936	736057.186250	4783346.962641	0.000000
3937	736064.170177	4783263.453240	0.000000
3938	736081.235085	4783246.432229	0.000000
3967	740683.625678	4775797.373544	0.000000
3969	740563.881312	4775819.668716	0.000000
3970	740490.387608	4775853.604876	0.000000
3972	740441.531317	4775891.157122	0.000000
3973	739613.145137	4776274.059784	0.000000
3974	739567.112502	4776279.258465	0.000000
3976	736342.967753	4776441.986649	0.000000
3979	737081.145166	4776321.497936	0.000000
3980	737019.965360	4776215.504135	0.000000
3983	736896.041640	4776209.929381	0.000000
3985	737320.011018	4776008.656740	0.000000
3988	737053.192104	4775887.190942	0.000000
3992	736485.171816	4776095.168454	0.000000
3993	736380.630803	4776123.900446	0.000000
3995	736578.908924	4776196.070711	0.000000
3996	736673.567971	4776210.720105	0.000000
3997	735641.771639	4776106.396276	0.000000
3998	735566.637333	4775972.759620	0.000000
3999	735636.750456	4775436.588536	0.000000
4000	735750.519830	4775347.330287	0.000000
4001	735923.036910	4775339.130446	0.000000
4002	736163.890195	4775319.668835	0.000000
4003	736703.690211	4775253.731968	0.000000
4008	738178.348885	4774830.915882	0.000000
4012	738569.107109	4776120.156325	0.000000
4014	734566.087599	4778026.894912	0.000000
4015	734699.347476	4778596.260579	0.000000
4017	734983.899836	4778691.987976	0.000000
4020	737838.577162	4779701.027497	0.000000
4021	737991.746372	4779769.115324	0.000000
4023	739105.619733	4777132.572254	0.000000
4025	738911.131698	4777971.003365	0.000000
4028	739133.171150	4777902.966805	0.000000
4029	739205.478702	4777935.172154	0.000000
4034	739141.577105	4777512.070419	0.000000
4035	739150.778951	4777409.335895	0.000000
4036	739174.740758	4777307.597490	0.000000
4039	739109.079003	4777179.807753	0.000000
4042	737181.541916	4776351.965803	0.000000
4045	737879.358679	4776339.973837	0.000000
4046	738155.948423	4776402.003581	0.000000
4048	734260.010242	4777832.020955	0.000000
4049	735040.641045	4777920.013892	0.000000
4050	734288.965774	4777960.252647	0.000000
4052	734317.144691	4778082.842703	0.000000
4054	734822.887375	4777969.069532	0.000000
4055	735170.937003	4778631.548794	0.000000
4057	736722.968352	4779043.360309	0.000000
4059	736821.826487	4779419.087318	0.000000
4060	736642.436815	4780586.521782	0.000000
4061	736687.445323	4780494.827308	0.000000
4070	736675.906971	4782162.483037	0.000000
4071	736354.458428	4781551.393434	0.000000
4074	736297.118067	4781500.499131	0.000000
4078	736286.388642	4781452.857881	0.000000
4079	736359.989166	4781418.852568	0.000000
4081	736325.859360	4781186.927843	0.000000
4082	736336.409368	4781018.367542	0.000000
4087	736671.395737	4780754.598499	0.000000
4088	736673.899189	4780741.375516	0.000000
4094	737948.891072	4783753.924426	0.000000
4095	738102.801513	4783752.294104	0.000000
4096	738398.379161	4783733.569690	0.000000
4102	738455.201937	4783759.480180	0.000000
4104	738441.774310	4783786.819947	0.000000
4106	738423.272699	4783846.762905	0.000000
4109	738558.335453	4784041.113295	0.000000
4110	738704.989828	4784206.884558	0.000000
4111	738940.189217	4784424.841998	0.000000
4140	734358.196966	4778271.823412	0.000000
4146	738058.696987	4776340.829716	0.000000
4153	736302.054658	4781387.852612	0.000000
4164	736702.877828	4782293.063531	0.000000
4165	736689.118649	4782294.041581	0.000000
4166	739003.237481	4779275.195327	0.000000
4167	738513.681161	4779403.257350	0.000000
4170	738036.159716	4779110.207047	0.000000
4171	738032.663166	4779101.189172	0.000000
4172	738021.774654	4779041.029688	0.000000
4173	738019.107693	4779021.321518	0.000000
4174	738011.485455	4778963.477891	0.000000
4178	738206.089170	4777353.000381	0.000000
4180	736375.603586	4776116.142761	0.000000
4181	736356.284732	4776042.341126	0.000000
4182	736368.818071	4775897.746126	0.000000
4214	741955.221279	4775808.371762	0.000000
4215	741878.573502	4775805.318811	0.000000
4218	741476.228597	4775024.260284	0.000000
4219	741540.165056	4774938.876873	0.000000
4225	742103.721578	4775243.018690	0.000000
4227	739068.524457	4775765.497130	0.000000
4231	737664.054889	4778132.937328	0.000000
4234	737427.771232	4778078.720468	0.000000
4235	736554.773461	4778087.541070	0.000000
4238	736956.918637	4777673.115549	0.000000
4239	736429.405703	4777902.733205	0.000000
4240	736113.512007	4777786.079361	0.000000
4242	736027.454381	4777748.561377	0.000000
4243	735999.721963	4777738.783244	0.000000
4244	735895.319550	4777699.820012	0.000000
4245	735858.069436	4777686.121481	0.000000
4246	735781.996683	4777657.781108	0.000000
4251	735184.082513	4777979.592072	0.000000
4252	735267.434917	4778393.392601	0.000000
4256	735233.244801	4778619.522939	0.000000
4257	735308.745554	4778687.255926	0.000000
4260	735727.011188	4777880.533133	0.000000
4263	736576.433601	4777708.598851	0.000000
4265	735867.220308	4778172.685986	0.000000
4266	735878.388530	4778190.074062	0.000000
4268	736109.377157	4778142.833799	0.000000
4273	734865.252280	4778163.792493	0.000000
4274	735198.782471	4778089.168091	0.000000
4276	734435.663343	4778609.653277	0.000000
4277	734389.756821	4778406.138722	0.000000
4278	734639.219469	4778350.401288	0.000000
4279	734895.419774	4778292.636634	0.000000
4280	735226.834536	4778212.826236	0.000000
4281	734923.956928	4778417.699869	0.000000
4282	734951.546110	4778539.039055	0.000000
4284	736036.348724	4779159.181057	0.000000
4285	736041.944605	4779137.303035	0.000000
4286	736079.154417	4779142.050730	0.000000
4300	735869.646024	4779644.703649	0.000000
4303	735887.994492	4779675.483739	0.000000
4306	735865.853074	4779690.261716	0.000000
4309	735844.872624	4779659.290467	0.000000
4313	735540.523479	4779905.446905	0.000000
4314	735863.517684	4779803.776183	0.000000
4319	734939.602552	4779228.197162	0.000000
4325	734108.617220	4778328.378806	0.000000
4326	734088.112280	4778232.717033	0.000000
4327	734340.061356	4778186.227135	0.000000
4346	738742.081959	4776026.279093	0.000000
4382	741252.680000	4775240.026184	0.000000
4383	741084.198296	4774997.370248	0.000000
4403	737593.932663	4786034.371042	0.000000
4429	739601.623174	4788088.420989	0.000000
4432	740485.272670	4789298.426195	0.000000
4433	741256.506087	4789830.021826	0.000000
4434	741941.693772	4789986.149198	0.000000
4437	743062.380502	4790113.234930	0.000000
4438	743392.607276	4790231.112586	0.000000
4440	743557.727767	4790324.765184	0.000000
4451	747484.576991	4793286.985918	0.000000
4455	748309.372027	4793859.139345	0.000000
4457	748559.367242	4794116.647840	0.000000
4458	749329.798707	4794937.189191	0.000000
4481	751435.221585	4796926.499589	0.000000
4492	750417.359102	4801038.093096	0.000000
4500	749003.037025	4803712.453553	0.000000
4507	749415.811893	4804944.295386	0.000000
4514	748321.503590	4805967.379231	0.000000
4574	737443.135934	4787089.786834	0.000000
4649	736385.582976	4778986.298639	0.000000
4652	736409.056396	4779002.702680	0.000000
4653	736306.539383	4779039.141920	0.000000
4654	736476.417636	4778986.816158	0.000000
4667	737477.596932	4778817.203139	0.000000
4668	736906.142890	4778440.637904	0.000000
4671	736907.057761	4778218.258438	0.000000
4673	737069.372039	4778119.525731	0.000000
4675	738008.736970	4778553.980615	0.000000
4678	737990.294751	4778615.572680	0.000000
